ID,店舗名,郵便番号,住所,latitude,longitude,電話番号,営業時間：開店時間,営業時間：閉店時間,Webサイト,Twitter,
1,ラウンドワンスタジアム　豊橋店,441-3147,愛知県豊橋市大岩町字岩田27番地-2（国道１号線沿い）,34.723624,137.432559,0532-65-2212,"月曜日〜木曜日　10:00
金曜日・祝前日　10:00　
土曜日　24時間営業","月曜日〜木曜日 6:00　
金曜日・祝前日 終日　　
日曜日・祝日 6:00",https://www.round1.co.jp/shop/tenpo/aichi-toyohashi.html,https://twitter.com/r1_toyohashi,
2,M's PARK刈谷店,448-0038,愛知県刈谷市稲場町3-206,35.005474,137.001409,0566-27-5822,全日　10:00,全日　24:00,https://msp-kariya.amebaownd.com/pages/1913809/InstallationGames,https://twitter.com/msparkkariya,
3,コムテックプラザ赤池,470-0125,愛知県日進市赤池1-2901,35.120803,137.017758,052-807-2666,"平日　12:00
土休日　10:00","平日　24:00
土休日　24:00",,https://twitter.com/comtechplaza?lang=ja,
4,ラウンドワンスタジアム 半田店,475-0828,愛知県半田市瑞穂町6丁目7番地の8,34.885422,136.941735,0569-25-7351,"月曜日〜木曜日　10:00
金曜日・祝前日　10:00
土曜日 24時間営業","月曜日〜木曜日　2:00
金曜日・祝前日　終日
日曜日・祝日　翌朝2:00",https://www.round1.co.jp/shop/tenpo/aichi-handa.html,https://twitter.com/r1_handa,
5,半田メトロポリス,475-0838,愛知県半田市旭町3-11-1,34.874775,136.92179,0569-24-5226,全日　10:00,全日　23:00,http://www.korona.co.jp/Game/han/index.asp,,
6,Ｍ’ｓ　ＰＡＲＫ　小牧店,485-0082,愛知県小牧市村中字稲荷783番地,35.304255,136.911613,0568-77-8752,全日　9:00,全日　24:00,,https://twitter.com/MsPARK_KOMAKI,
7,namco　テラスウォーク一宮店,491-0022,愛知県一宮市両郷町一丁目2番地,35.310976,136.816542,0586-26-1005,全日　9:00,全日　21:00,https://bandainamco-am.co.jp/game_center/loc/ichinomiya/,,
8,ラウンドワンスタジアム 名古屋西春店,481-0035,愛知県北名古屋市宇福寺神明15番地,35.254848,136.84372,0568-26-4001,"月曜日　8:00
火曜日～木曜日　10:00
金曜日・祝前日　10:00
土曜日　24時間営業","月曜日　6:00
火曜日～木曜日　6:00
金曜日・祝前日　終日
日曜日・祝日　6:00",https://www.round1.co.jp/shop/tenpo/aichi-nagoyanisiharu.html,https://twitter.com/r1_nisiharu,
9,ゲームファンタジアン岡崎店,444-0067,愛知県岡崎市錦町2番地4,34.973636,137.160046,0564-66-0505,全日　9:00,全日　24:00,http://www.fantasian.co.jp/shop5.html,https://twitter.com/Amex_gfo,
10,M's PARK 豊田店,471-0834,愛知県豊田市寿町3丁目21,35.056707,137.140439,0565-71-0027,全日　9:00,全日　24:00,,https://twitter.com/msparktoyota,
11,ゲームファンタジアン蒲郡店,443-0046,愛知県蒲郡市竹谷町中野1-12,34.829001,137.211258,0533-69-8880,全日　9:00,全日　24:00,http://www.fantasian.co.jp/shop3.html,https://twitter.com/Amex_GFG,
12,タイトーステーション フェドラ大須店,460-0011,愛知県名古屋市中区大須3丁目30-31萬松寺駐車場ビル１階･2階,35.159211,136.905565,052-242-2011,"平日　10:00
金曜日　10:00
土曜日　9:00
日曜日　9:00","平日　23:30
金曜日　24:00
土曜日　24:00
日曜日　23:30",https://www.taito.co.jp/store/00002180,https://twitter.com/Taito_phoe_osu,
13,FGLアトランティス,477-0034,愛知県東海市養父町3丁目38,35.007289,136.887511,0562-33-8355,"平日　11:00
土日　10:00","平日　24:00
土日　24:00",,https://twitter.com/atlantis8355,
14,小牧メトロポリス,485-0015,愛知県小牧市間々片山181,35.296036,136.905552,0568-71-0005,"平日　10:00
土日祝　9:00","平日　23:50
土日祝　23:50",https://www.korona.co.jp/Game/kom/index.asp,https://twitter.com/metropolis_kmk,
15,GAME.BOX Q3,453-0014,愛知県名古屋市中村区則武１丁目16-8,35.173083,136.876602,052-452-0920,"平日　10:00
土日祝　9:00","平日　24:00
土日祝　24:00",,https://twitter.com/9m5w0woxsun995w,
16,コムテックタワー,450-0002,愛知県名古屋市名駅4丁目10-20,35.1694,136.885992,052-565-6471,"平日　10:00
休日　9:00","平日　24:00
休日　24:00",http://comtechtower.web.fc2.com/,https://twitter.com/ComtechTower,
17,セガ春日井,486-0805,愛知県春日井市岩野町4180,35.269455,136.959884,0568-89-3081,"平日　10:00
土日祝　9:00","平日　24:00
土日祝　24:00",https://tempo.sega.jp/am/kasugai,https://twitter.com/SEGA_kasugai,
18,コムテックスクウェア,460-0022,愛知県名古屋市中区金山1丁目16-8,35.144021,136.900001,052-321-5601,全日　9:00,全日　24:00,,https://twitter.com/comtechsquare,
19,セガ東名ボール,489-0972,愛知県瀬戸市西原町2丁目114,35.209151,137.06294,0561-85-6211,全日　10:00,全日　24:00,https://tempo.sega.jp/am/tomei-bowl,https://twitter.com/SEGA_tomei_bowl,
20,ファンタジープラザ名古屋店,462-0018,愛知県名古屋市北区玄馬町234-1,35.226407,136.908993,052-938-3461,全日　10:00,全日　5:00,https://www.donki.com/store/shop_tenant.php?shop_id=163&tenant_id=2226,https://twitter.com/fpnagoya,
21,楽市楽座022　楽市街道名古屋店,481-0045,愛知県北名古屋市中之郷神明45番1,35.239859,136.848794,0568-27-2622,全日　10:00,全日　24:00,https://rakupa.jp/shop/022rakuichikaido-nagoya/,https://twitter.com/nagoyagaidou,
22,タイトーステーション豊橋店,441-8061,愛知県豊橋市藤沢町141-4,34.744201,137.371803,0532-29-8511,全日　10:00,全日　24:00,https://www.taito.co.jp/store/00001936,https://twitter.com/Taito_Toyohashi,
23,セガ豊田,471-0841,愛知県豊田市深田町1-65-1,35.067913,137.123689,0565-26-6777,全日　9:00,全日　24:00,https://tempo.sega.jp/am/toyota,https://twitter.com/SEGA_toyota,
24,グレアハイパーアミューズメントタワー,464-0850,愛知県名古屋市千種区今池5丁目22-17,35.167471,136.937021,052-731-2653,全日　10:00,全日　24:00,,https://twitter.com/grea_game,
25,プラサカプコン豊田店,471-0014,愛知県豊田市東山町1-5-1 グリーンシティ 3F,35.0875,137.184167,0565-88-8020,全日　10:00,全日　20:00,https://www.capcom.co.jp/amusement/game/shop/toyota/,,
26,スポルト名古屋店,460-0007,愛知県名古屋市中区新栄2-45-26,35.161649,136.921758,052-261-3111,"平日　10:00
土日祝　8:00","平日　24:00
土日祝　24:00",http://www.sport-bowling.co.jp/nagoya,https://twitter.com/nagoya06248545,
27,ゲームキングジョイ,460-0008,名古屋市中区栄3-3-32 パチンコフジ2・3階,35.167923,136.904922,052-241-9515,全日　9:00,全日　24:00,https://www.kingjoy.jp/,https://twitter.com/king_joy_,
28,ポート24八事店,466-0834,愛知県名古屋市昭和区広路町北石坂102-4,35.137163,136.964249,052-834-9200,全日　9:00,全日　24:00,http://www.port24.co.jp/shop/yagoto,https://twitter.com/port24yagoto,
29,名古屋レジャーランド大高店,459-8014,愛知県名古屋市緑区忠治山201,35.048944,136.949482,052-625-5360,24時間営業,24時間営業,https://www.leisurelan.co.jp/shop/ootaka.html,https://twitter.com/ll_oodaka,
30,ユーズランド東浦店,470-2102,愛知県知多郡東浦町大字緒川字旭13番2 イオンモール東浦2Ｆ,34.9788,136.974167,0562-82-2782,全日　10:00,全日　21:00,http://www.yous-am.com/higashiura.html,https://twitter.com/yous_higashiura,
31,Ｍ’ｓ ＰＡＲＫ 三郷店 西館,480-0066,愛知県尾張旭市南原山町赤土207番地,35.21505,137.044999,0561-55-5103,全日　10:00,全日　24:00,http://todays-game.seesaa.net/article/397371955.html,https://twitter.com/ms_sangou_nishi,
32,豊川メトロポリス,442-0824,愛知県豊川市下長山町上アライ14-1,34.802452,137.384578,0533-85-6540,"平日　10:00
土日祝　9:00","平日　23:50
土日祝　23:50",http://www.korona.co.jp/game/tok/index.asp,,
33,中川メトロポリス,454-0954,愛知県名古屋市中川区江松3-110,35.125372,136.823828,052-303-9701,"平日　10:00
土日祝　9:00","平日　23:50
土日祝　23:50",http://www.korona.co.jp/game/nak/index.asp,https://twitter.com/nakagawametoro,
34,ゲームファンタジーランドナイル,476-0002,愛知県東海市名和町三番割上40-2,35.062989,136.912428,052-601-7817,"平日　11:00
土日祝　10:00","平日　24:00
土日祝　24:00",,https://twitter.com/nile7817,
35,ゲームゾーンR　一宮店,491-0134,愛知県一宮市更屋敷門60,35.355722,136.787614,,全日　9:00,全日　24:00,,https://twitter.com/gamezone_ichino,
